x,y,Area per island,Quantity,"All islands area, pixels",Line area
0,0,5271,546,2423167,1197697
114,0,52034
254,0,711
331,0,9621
428,0,2225
527,0,156
562,0,12538
762,0,9856
1028,0,21331
1311,0,4910
1409,0,810
1415,0,29490
1574,0,1273
1630,0,14780
1759,0,95
1826,0,175
1783,0,10508
1932,0,78
1969,0,555
2029,0,289
92,6,234
1076,14,374
1840,21,13650
948,32,25
1907,33,1604
0,44,707
889,44,6205
965,52,6110
33,64,58
807,70,5464
1056,71,203
578,72,11518
749,74,72
1203,76,22
1317,78,17236
761,80,86
1082,83,329
778,84,96
278,86,25
74,87,963
0,88,5915
1128,90,6669
685,95,8534
565,98,39
1095,106,487
1239,112,63
1246,120,56
404,126,210
96,127,28
1676,127,36873
169,130,8037
901,130,294
995,133,23683
1194,135,11213
76,136,5649
979,154,51
786,156,17053
1023,160,444
1618,163,26
1924,171,111
1487,184,1771
961,187,3195
0,188,1261
494,199,5895
763,202,742
614,205,14060
32,211,26710
1633,211,56
1653,215,908
1150,217,104
1177,222,118
1313,224,378
1480,224,26
1527,228,263
1422,228,17945
263,233,43
1349,237,27
919,238,3973
490,245,79
1271,246,10338
335,249,19382
1793,254,358
466,256,133
0,260,5444
1816,268,35
1718,272,32439
502,275,17907
1012,291,50
764,294,442
1155,299,41
1001,305,275
1137,305,89
1369,306,11380
1673,313,535
1771,313,76
988,318,1987
1756,318,49
424,320,252
646,322,34853
947,323,1505
794,324,46
1099,327,10080
11,333,11023
174,350,9389
1511,350,3426
1579,356,1599
1662,356,437
686,359,72
1591,360,25
1697,360,33
1233,361,10914
1070,364,55
739,366,59
1613,374,12654
973,375,12926
1497,379,110
402,397,337
619,399,30
541,402,760
1503,403,60
634,408,31
286,409,50609
108,417,19928
1963,417,165
0,419,114
10,421,30
1101,423,11189
2020,431,138
1337,432,2599
677,435,11984
1406,435,21876
1939,437,392
2033,445,174
1407,447,58
0,450,1617
1963,450,961
1762,452,21
2018,452,25
487,456,49
1554,457,5118
453,461,8718
1802,465,103
1525,466,116
2008,467,2727
1884,471,12396
1519,476,26
813,478,9198
0,479,10377
1124,486,33
1684,486,26695
1263,489,122
1367,492,1654
563,497,270
1883,500,39
1306,503,2495
1849,504,109
1245,512,133
934,515,336
624,516,30
499,517,15198
1094,517,20
653,518,53
1629,525,1001
0,530,70
574,531,145
1234,534,3116
799,542,20
1663,542,329
470,545,129
1014,547,33473
782,550,86
750,554,61
938,562,41
1393,562,21
1562,565,8796
679,568,11712
423,571,122
1973,571,8253
420,573,2881
1289,579,25595
110,580,123
126,581,96
1317,588,67
64,590,121
408,592,36
763,593,9650
1278,596,923
24,601,26672
45,606,2365
388,608,315
1248,608,80
21,610,309
1258,616,131
849,620,889
362,623,36
848,629,33651
438,631,18361
924,631,569
1272,633,32
32,637,62
239,639,6466
1289,640,30
1939,650,220
1515,651,196
569,653,98
147,656,39
1654,657,149
1662,658,3035
1505,666,5905
1710,670,9078
1596,671,45
239,672,20
1955,672,111
0,673,491
211,679,211
258,679,37
1877,680,15056
652,681,2161
587,691,2522
640,713,21
1583,717,3214
226,718,4181
363,720,28
1617,721,21
328,725,72
1019,730,23
0,731,30162
1862,732,200
1395,735,1017
632,738,23798
1288,744,6018
711,745,27
840,754,85
241,758,12064
1693,759,156
617,762,126
1187,763,1919
1538,771,20109
612,774,1182
1853,774,20
288,777,88
1421,779,93
1749,779,13436
1388,781,143
1161,791,402
430,792,431
1406,792,650
306,798,25
1169,804,13898
1508,807,52
2009,808,454
1431,816,6755
645,820,31
1516,821,88
628,823,21
1223,823,22
1953,831,6671
1156,832,39
977,833,138
489,838,15352
1308,848,18192
493,852,703
972,852,165
949,854,8464
1392,854,91
1091,857,29
1735,861,3326
863,862,63
496,872,70
846,873,23
1133,877,1997
858,885,31
1064,893,517
1421,896,21
1676,901,3976
1129,904,78
1461,907,28196
1111,908,62
829,909,12768
682,911,8162
1774,914,10572
1808,916,326
169,919,13823
1086,922,343
665,933,940
1595,933,159
982,937,47
1093,941,1510
1202,941,114
117,942,2076
970,945,89
1026,949,33
962,950,13358
925,953,403
1944,953,3932
2034,951,237
643,958,666
1802,961,45
1106,962,14458
1721,964,15256
553,970,5157
1639,972,46
1632,973,4395
1460,978,746
1741,978,69
28,982,10668
642,987,6099
1259,987,785
166,990,183
302,993,25789
779,994,34
491,997,160
721,1000,5407
40,1003,62
466,1012,51
1454,1013,96
480,1014,27
1272,1015,4585
1498,1016,346
150,1022,246
488,1022,69
1619,1023,77
1939,1024,11363
1350,1026,5587
526,1028,28
1529,1029,79
482,1032,27
426,1036,11098
1880,1037,3443
1602,1038,40
522,1039,4561
984,1039,285
622,1047,455
1333,1052,179
1655,1058,3713
732,1067,1538
109,1069,13052
898,1072,84
1095,1072,3374
794,1076,6788
242,1077,22
936,1084,414
915,1086,38
1877,1087,40
1084,1091,21
1163,1091,11432
285,1097,33
971,1097,22903
924,1098,54
1402,1099,3921
1941,1101,174
615,1102,116
0,1105,12522
1401,1105,194
1838,1107,7702
637,1110,479
670,1111,6912
626,1115,113
941,1116,28
1389,1116,125
536,1117,10821
1707,1119,16891
1361,1123,361
1352,1135,130
892,1138,3598
1823,1143,23
884,1156,25
1369,1158,82
738,1159,21755
180,1160,21853
1551,1164,1263
1291,1165,23401
2027,1167,301
859,1171,1429
1596,1172,10815
1491,1179,4834
1257,1199,38
1971,1199,3683
1723,1202,117
998,1210,21
494,1212,15916
951,1214,274
1195,1214,6886
361,1215,3574
456,1216,38
727,1216,370
1898,1223,440
146,1228,228
1892,1228,14088
1015,1229,150
1929,1232,51
628,1233,5903
54,1239,29
939,1239,63
67,1245,31737
864,1247,13203
45,1254,457
1920,1254,352
0,1255,6704
612,1257,74
1590,1259,48
1501,1262,10986
350,1267,2357
1766,1267,384
624,1268,25
1396,1268,69
1747,1273,59
1302,1276,37
1686,1281,2875
402,1286,6329
1769,1297,144
1649,1299,603
1134,1305,7032
646,1312,18889
1770,1316,140
945,1321,20
1666,1322,68021
765,1327,127
1211,1327,17125
1283,1328,26
325,1329,495
1881,1330,219
1053,1333,2047
1666,1338,6906
1864,1342,84
335,1346,9005
300,1348,267
1040,1354,440
1454,1355,23
1594,1357,2939
1469,1359,3840
1366,1361,10008
1443,1362,52
1776,1365,29
1896,1368,72
473,1369,1184
223,1375,321
1139,1376,20
448,1377,31
228,1379,26395
1056,1379,2427
620,1386,245
1131,1395,42
1019,1396,2420
265,1397,151
84,1399,67
1161,1401,41
828,1402,2640
1997,1404,958
0,1405,24796
1170,1407,45
485,1408,38
1372,1408,25
1078,1409,14605
1191,1410,632
0,1421,143
417,1428,22527
901,1429,117
1455,1430,8738
1586,1430,223
1008,1431,124
1091,1433,24
890,1439,4984
713,1442,798
693,1446,80
1551,1451,10518
0,1452,1332
415,1456,291
275,1468,25
677,1470,19459
1056,1479,67
1024,1483,24
1450,1486,71
1359,1488,20275
1443,1490,51
968,1494,20919
1218,1494,68
1221,1508,6105
1276,1510,13689
476,1520,2593
905,1521,19807
17,1524,37
216,1524,897
529,1539,37
403,1552,10517
1624,1554,95
117,1558,10215
1750,1559,1596
2038,1562,111
540,1579,7995
662,1583,20
1135,1588,13319
583,1593,24
658,1597,216
1327,1597,101
1761,1597,3393
1671,1600,3466
637,1610,17807
752,1614,232
1336,1614,43
1274,1619,43
2036,1623,263
731,1626,70
1617,1635,2126
1121,1637,238
525,1638,74
1045,1638,52
469,1647,7722
1385,1648,13600
235,1651,17326
1819,1662,12593
1073,1668,20
1277,1668,1319
1696,1670,8563
2026,1672,155
2044,1674,42
469,1680,263
853,1687,3392
139,1689,165
1553,1689,6134
1326,1696,3025
1573,1696,22
165,1697,24
91,1699,5604
1199,1701,94
579,1705,4703
718,1711,354
1172,1714,76
1327,1715,53
444,1727,192
850,1728,71
690,1730,49
1281,1734,645
723,1735,1409
850,1744,32
712,1746,52
440,1750,487
1323,1750,118
1126,1754,219
1820,1756,377
1058,1758,69
1240,1760,99
920,1761,124
1262,1762,57
794,1764,33
1290,1766,60
